Name,Opp.,Berry,Karabell,Yates,Cockcroft,Clay,Bell,Avg,Position
"1. Tom Brady, NE",@Det,2,1,1,3,1,1,1.5,QB
"2. Patrick Mahomes, KC",SF,1,2,3,1,3,3,2.2,QB
"3. Aaron Rodgers, GB  Q",@Wsh,3,3,2,5,2,5,3.3,QB
"4. Cam Newton, Car",Cin,4,4,7,7,5,6,5.5,QB
"5. Kirk Cousins, Min",Buf,5,5,8,4,13,4,6.5,QB
"6. Drew Brees, NO",@Atl,7,6,10,2,14,2,6.8,QB
"7. Carson Wentz, Phi",Ind,8,7,6,14,6,9,8.3,QB
"7. Ryan Fitzpatrick, TB",Pit,6,10,5,12,4,13,8.3,QB
"9. Deshaun Watson, Hou",NYG,9,9,11,9,9,8,9.2,QB
"10. Matthew Stafford, Det",NE,10,11,12,10,10,10,10.5,QB
"11. Russell Wilson, Sea",Dal,14,8,13,11,8,14,11.3,QB
"11. Jimmy Garoppolo, SF",@KC,11,12,9,8,11,17,11.3,QB
"13. Ben Roethlisberger, Pit",@TB,13,16,4,6,12,20,11.8,QB
"14. Alex Smith, Wsh",GB,12,13,16,17,7,18,13.8,QB
"15. Matt Ryan, Atl",NO,18,17,15,13,15,7,14.2,QB
"16. Andrew Luck, Ind",@Phi,17,15,14,15,16,12,14.8,QB
"17. Philip Rivers, LAC",@LAR,20,14,17,16,24,11,17,QB
"18. Andy Dalton, Cin",@Car,16,21,19,20,17,15,18,QB
"19. Jared Goff, LAR",LAC,21,18,18,18,20,16,18.5,QB
"20. Blake Bortles, Jax",Ten,15,19,24,21,19,19,19.5,QB
"21. Tyrod Taylor, Cle",NYJ,19,20,21,23,21,21,20.8,QB
"22. Dak Prescott, Dal",@Sea,24,22,22,19,22,24,22.2,QB
"23. Mitchell Trubisky, Chi",@Ari,22,24,NR,22,18,23,22.5,QB
"24. Derek Carr, Oak",@Mia,23,25,20,25,25,25,23.8,QB
"25. Case Keenum, Den  Q",@Bal,25,23,25,NR,NR,NR,25.2,QB
"25. Ryan Tannehill, Mia",Oak,NR,NR,NR,24,23,NR,25.2,QB
"27. Sam Darnold, NYJ",@Cle,NR,NR,NR,NR,NR,22,25.3,QB
"28. Joe Flacco, Bal",Den,NR,NR,23,NR,NR,NR,25.5,QB
"1. Todd Gurley II, LAR",LAC,2,1,1,1,2,1,1.3,RB
"2. Alvin Kamara, NO",@Atl,1,2,2,2,1,3,1.8,RB
"3. Ezekiel Elliott, Dal",@Sea,3,3,3,3,3,4,3.2,RB
"4. Saquon Barkley, NYG",@Hou,4,4,4,6,5,7,5,RB
"5. Christian McCaffrey, Car",Cin,8,8,5,5,6,5,6.2,RB
"6. Kareem Hunt, KC",SF,5,7,8,8,9,2,6.5,RB
"7. Melvin Gordon, LAC",@LAR,7,5,6,4,13,8,7.2,RB
"8. James Conner, Pit",@TB,6,11,7,7,7,10,8,RB
"9. Dalvin Cook, Min  Q",Buf,9,9,10,10,8,6,8.7,RB
"10. David Johnson, Ari",Chi,17,6,9,9,4,11,9.3,RB
"11. Leonard Fournette, Jax  Q",Ten,11,10,12,16,11,9,11.5,RB
"12. Jordan Howard, Chi",@Ari,10,13,13,11,12,12,11.8,RB
"12. Tevin Coleman, Atl",NO,12,12,11,13,10,13,11.8,RB
"14. Kenyan Drake, Mia",Oak,13,14,14,14,15,15,14.2,RB
"15. Giovani Bernard, Cin  Q",@Car,14,15,15,17,16,17,15.7,RB
"16. Lamar Miller, Hou",NYG,18,16,17,12,14,20,16.2,RB
"17. Chris Thompson, Wsh",GB,16,17,16,19,17,16,16.8,RB
"18. Matt Breida, SF",@KC,15,20,21,21,21,19,19.5,RB
